食物,链接,热量
"
Easy Fun 高蛋白小酥鱼（藤椒味）
",http://www.boohee.com/shiwu/fdc19ab3,351 大卡(每100克)
"
鸡蛋，又叫鸡子、鸡卵、蛋
",http://www.boohee.com/shiwu/jidan_junzhi,144 大卡(每100克)
"
Easy Fun 低脂鸡胸肉肠（香辣味）
",http://www.boohee.com/shiwu/fd7a0fa9,136 大卡(每100克)
"
Easy Fun 鸡胸肉丝（原味）
",http://www.boohee.com/shiwu/fda82c33,418 大卡(每100克)
"
Easy Fun 低脂鸡胸肉（黑椒味）
",http://www.boohee.com/shiwu/fd1c845f,134 大卡(每100克)
"
Easy Fun 低脂鸡胸肉（香辣味）
",http://www.boohee.com/shiwu/fd4a70b4,130 大卡(每100克)
"
Easy Fun 低脂鸡胸肉丸（原味），又...
",http://www.boohee.com/shiwu/fd4e5f89,93 大卡(每100克)
"
Easy S 低脂牛肉小方（五香味）
",http://www.boohee.com/shiwu/fd01a3cf,165 大卡(每100克)
"
Easy S 低脂鸡蛋干（五香味）
",http://www.boohee.com/shiwu/fd31e13e,124 大卡(每100克)
"
Easy S 低脂鸡胸肉（香辣味）
",http://www.boohee.com/shiwu/fd56d800,130 大卡(每100克)
"
卤蛋，又叫卤鸡蛋
",http://www.boohee.com/shiwu/lujidan,148 大卡(每100克)
"
清炒土豆丝
",http://www.boohee.com/shiwu/qingchaotudousi,95 大卡(每100克)
"
清爽西兰花
",http://www.boohee.com/shiwu/qingshuangxilanhua,63 大卡(每100克)
"
烧麦，又叫烧卖、糯米烧卖
",http://www.boohee.com/shiwu/shaomai,220 大卡(每100克)
"
炒大白菜，又叫大白菜
",http://www.boohee.com/shiwu/chaodabaicai,53 大卡(每100克)
"
西红柿鸡蛋汤，又叫西红柿蛋汤
",http://www.boohee.com/shiwu/xihongshijidantang,32 大卡(每100克)
"
大饼，又叫饼，家常饼，死面饼
",http://www.boohee.com/shiwu/dabing,215 大卡(每100克)
"
清蒸鱼，又叫清蒸鱼、蒸鱼、鱼、蒸洄鱼
",http://www.boohee.com/shiwu/qingzhengyu,105 大卡(每100克)
"
酸菜鱼，又叫酸汤鱼、酸辣鱼
",http://www.boohee.com/shiwu/suancaiyu,98 大卡(每100克)
"
寿司 自制1，又叫寿司卷
",http://www.boohee.com/shiwu/shousijuanhihifebruaryzizhi,141 大卡(每100克)
"
牛肉面，又叫兰州拉面、牛腩面、牛肉拌面
",http://www.boohee.com/shiwu/niuroumian,127 大卡(每100克)
"
炒上海青，又叫炒青菜
",http://www.boohee.com/shiwu/chaoqingcai,53 大卡(每100克)
"
番茄炒蛋，又叫番茄炒鸡蛋、西红柿炒蛋、西红...
",http://www.boohee.com/shiwu/fanqiechaodan,85 大卡(每100克)
"
吐司面包，又叫吐司、白吐司、面包片、切片面...
",http://www.boohee.com/shiwu/zizhitusi,278 大卡(每100克)
"
鸡蛋羹，又叫蒸蛋
",http://www.boohee.com/shiwu/qingzhengjidangeng,62 大卡(每100克)
"
绿豆汤
",http://www.boohee.com/shiwu/lvdoutang,46 大卡(每100克)
"
素炒小白菜，又叫小青菜
",http://www.boohee.com/shiwu/suchaoxiaobaicai,46 大卡(每100克)
"
烧茄子
",http://www.boohee.com/shiwu/shaoqiezi,74 大卡(每100克)
"
绿豆粥
",http://www.boohee.com/shiwu/lvdouzhou,48 大卡(每100毫升)
"
香菇青菜包，又叫香菇菜包、菜包子、素包子、...
",http://www.boohee.com/shiwu/xiangguqingcaibaozi,160 大卡(每100克)
"
蛋炒饭，又叫黄金炒饭、蛋炒饭
",http://www.boohee.com/shiwu/danchaofan,143 大卡(每100克)
"
红烧鳓鱼
",http://www.boohee.com/shiwu/hongshaoyu,216 大卡(每100克)
"
盐水虾，又叫焖鲜虾
",http://www.boohee.com/shiwu/yanshuixia,92 大卡(每100克)
"
炒绿豆芽，又叫有机活体豆苗
",http://www.boohee.com/shiwu/chaolvdouya,44 大卡(每100克)
"
葱油饼，又叫葱花饼、葱油饼
",http://www.boohee.com/shiwu/congyoubing,259 大卡(每100克)
"
清炒西葫芦，又叫炒西葫、西葫芦丝
",http://www.boohee.com/shiwu/qingchaoxihulu,47 大卡(每100克)
"
西红柿鸡蛋面，又叫番茄蛋面
",http://www.boohee.com/shiwu/xihongshijidanmian,98 大卡(每100克)
"
酸辣土豆丝
",http://www.boohee.com/shiwu/suanlatudousi,122 大卡(每100克)
"
红烧肉
",http://www.boohee.com/shiwu/hongshaorou,522 大卡(每100克)
"
韭菜包子
",http://www.boohee.com/shiwu/jiucaibaozi,171 大卡(每100克)
"
牛肉面，又叫兰州拉面、牛腩面、牛肉拌面
",http://www.boohee.com/shiwu/niuroumian,127 大卡(每100克)
"
炒上海青，又叫炒青菜
",http://www.boohee.com/shiwu/chaoqingcai,53 大卡(每100克)
"
番茄炒蛋，又叫番茄炒鸡蛋、西红柿炒蛋、西红...
",http://www.boohee.com/shiwu/fanqiechaodan,85 大卡(每100克)
"
吐司面包，又叫吐司、白吐司、面包片、切片面...
",http://www.boohee.com/shiwu/zizhitusi,278 大卡(每100克)
"
鸡蛋羹，又叫蒸蛋
",http://www.boohee.com/shiwu/qingzhengjidangeng,62 大卡(每100克)
"
绿豆汤
",http://www.boohee.com/shiwu/lvdoutang,46 大卡(每100克)
"
素炒小白菜，又叫小青菜
",http://www.boohee.com/shiwu/suchaoxiaobaicai,46 大卡(每100克)
"
烧茄子
",http://www.boohee.com/shiwu/shaoqiezi,74 大卡(每100克)
"
绿豆粥
",http://www.boohee.com/shiwu/lvdouzhou,48 大卡(每100毫升)
"
香菇青菜包，又叫香菇菜包、菜包子、素包子、...
",http://www.boohee.com/shiwu/xiangguqingcaibaozi,160 大卡(每100克)
"
猪肉（瘦），又叫猪精肉，瘦肉
",http://www.boohee.com/shiwu/zhurou_shou,143 大卡(每100克)
"
鸡蛋（煮），又叫水煮蛋，白煮蛋，煮蛋，煮鸡...
",http://www.boohee.com/shiwu/jidan_zhu,151 大卡(每100克)
"
鸡蛋白（鸡蛋清），又叫鸡蛋白、鸡蛋清、蛋清、蛋白
",http://www.boohee.com/shiwu/jidanbai_jidanqing,60 大卡(每100克)
"
火腿肠
",http://www.boohee.com/shiwu/huotuichang,212 大卡(每100克)
"
鸡胸脯肉，又叫鸡柳肉、鸡里脊肉、鸡胸、鸡胸肉
",http://www.boohee.com/shiwu/jixiongfurou,133 大卡(每100克)
"
牛肉（牛腩），又叫腹部肉
",http://www.boohee.com/shiwu/niurou_fuburou,332 大卡(每100克)
"
荷包蛋（油煎），又叫荷包蛋、煎蛋、煎荷包蛋...
",http://www.boohee.com/shiwu/hebaodan_youjian,199 大卡(每100克)
"
咸鸭蛋，又叫盐蛋、腌蛋、味蛋
",http://www.boohee.com/shiwu/xianyadan,190 大卡(每100克)
"
猪肉(肥瘦)，又叫豕肉、彘肉
",http://www.boohee.com/shiwu/zhurou_feishou,395 大卡(每100克)
"
瓦罐鸡汤（含料），又叫瓦罐汤
",http://www.boohee.com/shiwu/waguanjitang_rou,190 大卡(每100克)
"
Easy Fun 高蛋白小酥鱼（海苔味）
",http://www.boohee.com/shiwu/fde9dde4,305 大卡(每100克)
"
Easy S 低脂鸡胸肉（黑椒味）
",http://www.boohee.com/shiwu/fd49a7d1,134 大卡(每100克)
"
Easy Fun 低脂鸡胸肉肠（原味）
",http://www.boohee.com/shiwu/fd041822,131 大卡(每100克)
"
猪小排，又叫排骨、猪排
",http://www.boohee.com/shiwu/zhuxiaopai,278 大卡(每100克)
"
鸡（土鸡，家养)
",http://www.boohee.com/shiwu/ji_tuji_jiayang,124 大卡(每100克)
"
鸡（母鸡，一年内）
",http://www.boohee.com/shiwu/muji_yiniannei,256 大卡(每100克)
"
鸡（肉鸡，肥）
",http://www.boohee.com/shiwu/rouji_fei,389 大卡(每100克)
"
鸭肉，又叫鸭子、鹜肉、家凫肉
",http://www.boohee.com/shiwu/ya_junzhi,240 大卡(每100克)
"
猪蹄，又叫猪脚、猪手、猪蹄爪
",http://www.boohee.com/shiwu/zhuti,260 大卡(每100克)
"
螃蟹（河蟹），又叫螃蟹、毛蟹、稻蟹、中华绒...
",http://www.boohee.com/shiwu/hexie,103 大卡(每100克)
"
蛋炒饭，又叫黄金炒饭、蛋炒饭
",http://www.boohee.com/shiwu/danchaofan,143 大卡(每100克)
"
红烧鳓鱼
",http://www.boohee.com/shiwu/hongshaoyu,216 大卡(每100克)
"
盐水虾，又叫焖鲜虾
",http://www.boohee.com/shiwu/yanshuixia,92 大卡(每100克)
"
炒绿豆芽，又叫有机活体豆苗
",http://www.boohee.com/shiwu/chaolvdouya,44 大卡(每100克)
"
葱油饼，又叫葱花饼、葱油饼
",http://www.boohee.com/shiwu/congyoubing,259 大卡(每100克)
"
清炒西葫芦，又叫炒西葫、西葫芦丝
",http://www.boohee.com/shiwu/qingchaoxihulu,47 大卡(每100克)
"
西红柿鸡蛋面，又叫番茄蛋面
",http://www.boohee.com/shiwu/xihongshijidanmian,98 大卡(每100克)
"
酸辣土豆丝
",http://www.boohee.com/shiwu/suanlatudousi,122 大卡(每100克)
"
红烧肉
",http://www.boohee.com/shiwu/hongshaorou,522 大卡(每100克)
"
韭菜包子
",http://www.boohee.com/shiwu/jiucaibaozi,171 大卡(每100克)
"
Easy Fun 营养粉丝（香菇炖鸡味）
",http://www.boohee.com/shiwu/fda3bd99,357 大卡(每100克)
"
Easy Fun 营养粉丝（牛肉味噌味）
",http://www.boohee.com/shiwu/fdbd0231,363 大卡(每100克)
"
白粥，又叫白粥（粳米），稀饭，大米粥，白米...
",http://www.boohee.com/shiwu/jingmizhou,46 大卡(每100毫升)
"
Easy Fun 营养粉丝（番茄鸡蛋味）
",http://www.boohee.com/shiwu/fd81135c,348 大卡(每100克)
"
Easy S 低脂黑椒牛肉饭
",http://www.boohee.com/shiwu/fda4fea7,169 大卡(每100克)
"
Easy S 法式南瓜汤
",http://www.boohee.com/shiwu/fdd10296,313 大卡(每100克)
"
Easy S 鸡肉松烤麦片
",http://www.boohee.com/shiwu/fda00b8c,455 大卡(每100克)
"
Easy S 低脂咖喱鸡饭
",http://www.boohee.com/shiwu/fdaf8ba6,179 大卡(每100克)
"
Easy Fun 低脂咖喱鸡饭
",http://www.boohee.com/shiwu/fd87825c,179 大卡(每100克)
"
Easy S 红枣黑米圈
",http://www.boohee.com/shiwu/fdd72323,392 大卡(每100克)
"
Easy Fun 抹茶红豆麦片
",http://www.boohee.com/shiwu/fd1f7c6f,381 大卡(每100克)
"
Easy S 蛋白棒（英式红茶味）
",http://www.boohee.com/shiwu/fdd00048,424 大卡(每100克)
"
Easy S 意式阿拉棒
",http://www.boohee.com/shiwu/fd7078a2,396 大卡(每100克)
"
Easy Fun 高蛋白微波蛋糕预拌粉（香...
",http://www.boohee.com/shiwu/fd42eab7,389 大卡(每100克)
"
Easy Fun 红枣黑米圈（新包装）
",http://www.boohee.com/shiwu/fd5ad4f9,392 大卡(每100克)
"
Easy Fun 鸡肉松烤麦片
",http://www.boohee.com/shiwu/fdcdee28,455 大卡(每100克)
"
Easy Fun 山药紫薯圈
",http://www.boohee.com/shiwu/fd3ce3a1,391 大卡(每100克)
"
稀饭，又叫白粥（籼米），大米粥，白米粥
",http://www.boohee.com/shiwu/xianmizhou,59 大卡(每100毫升)
"
玉米（鲜），又叫苞谷、珍珠米、棒子、玉蜀黍...
",http://www.boohee.com/shiwu/yumi_xian,112 大卡(每100克)
"
燕麦片，又叫燕麦
",http://www.boohee.com/shiwu/yanmaipian,338 大卡(每100克)
"
面条（生），又叫面
",http://www.boohee.com/shiwu/miantiao_junzhi,301 大卡(每100克)
"
面条（煮），又叫面
",http://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu,110 大卡(每100克)
"
籼米粉，又叫米线、米粉、粉
",http://www.boohee.com/shiwu/xianmifen,356 大卡(每100克)
"
面包
",http://www.boohee.com/shiwu/mianbao_junzhi,313 大卡(每100克)
"
红薯，又叫地瓜、番薯、甘薯
",http://www.boohee.com/shiwu/ganshu_hongxin,61 大卡(每100克)
"
小米粥
",http://www.boohee.com/shiwu/xiaomizhou,46 大卡(每100毫升)
"
马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯
",http://www.boohee.com/shiwu/malingshu,81 大卡(每100克)
"
包子（猪肉馅）
",http://www.boohee.com/shiwu/baozi_zhurouxian,227 大卡(每100克)
"
米饭，又叫大米饭，饭，蒸米、锅巴饭
",http://www.boohee.com/shiwu/mifan_zheng,116 大卡(每100克)
"
Easy Fun 高纤 奇亚籽苏打饼干
",http://www.boohee.com/shiwu/fd47b857,436 大卡(每100克)
"
卤蛋，又叫卤鸡蛋
",http://www.boohee.com/shiwu/lujidan,148 大卡(每100克)
"
清炒土豆丝
",http://www.boohee.com/shiwu/qingchaotudousi,95 大卡(每100克)
"
清爽西兰花
",http://www.boohee.com/shiwu/qingshuangxilanhua,63 大卡(每100克)
"
烧麦，又叫烧卖、糯米烧卖
",http://www.boohee.com/shiwu/shaomai,220 大卡(每100克)
"
炒大白菜，又叫大白菜
",http://www.boohee.com/shiwu/chaodabaicai,53 大卡(每100克)
"
西红柿鸡蛋汤，又叫西红柿蛋汤
",http://www.boohee.com/shiwu/xihongshijidantang,32 大卡(每100克)
"
大饼，又叫饼，家常饼，死面饼
",http://www.boohee.com/shiwu/dabing,215 大卡(每100克)
"
清蒸鱼，又叫清蒸鱼、蒸鱼、鱼、蒸洄鱼
",http://www.boohee.com/shiwu/qingzhengyu,105 大卡(每100克)
"
酸菜鱼，又叫酸汤鱼、酸辣鱼
",http://www.boohee.com/shiwu/suancaiyu,98 大卡(每100克)
"
寿司 自制1，又叫寿司卷
",http://www.boohee.com/shiwu/shousijuanhihifebruaryzizhi,141 大卡(每100克)
"
酸奶
",http://www.boohee.com/shiwu/suannai_junzhi,72 大卡(每100毫升)
"
全脂牛奶，又叫纯牛奶，牛乳
",http://www.boohee.com/shiwu/niuru_junzhi,54 大卡(每100毫升)
"
拿铁（全脂，无糖），又叫拿铁咖啡
",http://www.boohee.com/shiwu/fdbb1893,44 大卡(每100毫升)
"
奶酪，又叫乳酪、芝士、起司、计司
",http://www.boohee.com/shiwu/nailao,328 大卡(每100克)
"
酸奶（中脂）
",http://www.boohee.com/shiwu/suannai_zhongzhi,64 大卡(每100毫升)
"
脱脂酸奶
",http://www.boohee.com/shiwu/suannai_tuozhi,57 大卡(每100毫升)
"
脱脂奶粉
",http://www.boohee.com/shiwu/tuozhinaifen,356 大卡(每100克)
"
酸奶（调味）
",http://www.boohee.com/shiwu/suannai_diaowei,88 大卡(每100毫升)
"
光明 鲜牛奶，又叫光明鲜奶、光明牛奶
",http://www.boohee.com/shiwu/niuru_guangmingpai,60 大卡(每100毫升)
"
酸奶(果料)，又叫果料酸奶
",http://www.boohee.com/shiwu/suannai_guoliao,67 大卡(每100毫升)
"
光明 优倍 高品质鲜牛奶，又叫光明 优倍高...
",http://www.boohee.com/shiwu/fd962a6c,65 大卡(每100毫升)
"
光明 优倍 0脂肪 高品质脱脂鲜牛奶
",http://www.boohee.com/shiwu/fd460d85,35 大卡(每100毫升)
"
光明 优倍 0乳糖 巴士杀菌调制乳
",http://www.boohee.com/shiwu/fdb14fc7,67 大卡(每100毫升)
"
光明 致优 全鲜乳，又叫光明 致优全鲜乳
",http://www.boohee.com/shiwu/fdb47466,63 大卡(每100毫升)
"
光明 0脂肪 鲜牛奶，又叫光明 0脂肪鲜牛奶
",http://www.boohee.com/shiwu/fd458bc8,32 大卡(每100毫升)
"
牛奶(强化VA，VD)，又叫牛乳(强化VA...
",http://www.boohee.com/shiwu/niuru_qianghuaVA_VD,51 大卡(每100毫升)
"
光明 低脂牛奶
",http://www.boohee.com/shiwu/guangmingdizhiniunai,43 大卡(每100毫升)
"
蒙牛 木糖醇酸牛奶，又叫蒙牛木糖醇酸奶
",http://www.boohee.com/shiwu/mengniusuanniunaimutangchun,63 大卡(每100毫升)
"
低脂奶酪
",http://www.boohee.com/shiwu/dizhinailao,241 大卡(每100克)
"
伊利 无蔗糖酸牛奶（利乐包）150g
",http://www.boohee.com/shiwu/yiliwuzhetangsuanniunai,52 大卡(每100毫升)
"
酸奶（果粒），又叫果粒酸奶
",http://www.boohee.com/shiwu/suannai_guoli,97 大卡(每100毫升)
"
蒙牛 高钙牛奶，又叫蒙牛袋装高钙牛奶
",http://www.boohee.com/shiwu/mengniugaogainiunai,59 大卡(每100毫升)
"
脱脂牛奶，又叫脱脂奶
",http://www.boohee.com/shiwu/niuru_tuozhi_pamalate,33 大卡(每100毫升)
"
光明 e+益生菌酸牛奶（原味）220ml ...
",http://www.boohee.com/shiwu/guangmingeyishengjunsuanniunai_yuanwei,45 大卡(每100毫升)
"
低脂牛奶，又叫低脂奶 脱脂奶
",http://www.boohee.com/shiwu/niuru_bufentuozhi_pamalate,43 大卡(每100毫升)
"
早餐奶
",http://www.boohee.com/shiwu/zaocannai,68 大卡(每100毫升)
"
酸奶（高蛋白）
",http://www.boohee.com/shiwu/suannai_gaodanbai,62 大卡(每100毫升)
"
奶片
",http://www.boohee.com/shiwu/naipian,472 大卡(每100克)
"
全脂牛奶粉
",http://www.boohee.com/shiwu/quanzhiniunaifen,478 大卡(每100克)
"
光明 纯牛奶，又叫光明牛奶
",http://www.boohee.com/shiwu/fded1a79,66 大卡(每100毫升)
"
牛肉面，又叫兰州拉面、牛腩面、牛肉拌面
",http://www.boohee.com/shiwu/niuroumian,127 大卡(每100克)
"
炒上海青，又叫炒青菜
",http://www.boohee.com/shiwu/chaoqingcai,53 大卡(每100克)
"
番茄炒蛋，又叫番茄炒鸡蛋、西红柿炒蛋、西红...
",http://www.boohee.com/shiwu/fanqiechaodan,85 大卡(每100克)
"
吐司面包，又叫吐司、白吐司、面包片、切片面...
",http://www.boohee.com/shiwu/zizhitusi,278 大卡(每100克)
"
鸡蛋羹，又叫蒸蛋
",http://www.boohee.com/shiwu/qingzhengjidangeng,62 大卡(每100克)
"
绿豆汤
",http://www.boohee.com/shiwu/lvdoutang,46 大卡(每100克)
"
素炒小白菜，又叫小青菜
",http://www.boohee.com/shiwu/suchaoxiaobaicai,46 大卡(每100克)
"
烧茄子
",http://www.boohee.com/shiwu/shaoqiezi,74 大卡(每100克)
"
绿豆粥
",http://www.boohee.com/shiwu/lvdouzhou,48 大卡(每100毫升)
"
香菇青菜包，又叫香菇菜包、菜包子、素包子、...
",http://www.boohee.com/shiwu/xiangguqingcaibaozi,160 大卡(每100克)
"
卤蛋，又叫卤鸡蛋
",http://www.boohee.com/shiwu/lujidan,148 大卡(每100克)
"
清炒土豆丝
",http://www.boohee.com/shiwu/qingchaotudousi,95 大卡(每100克)
"
清爽西兰花
",http://www.boohee.com/shiwu/qingshuangxilanhua,63 大卡(每100克)
"
烧麦，又叫烧卖、糯米烧卖
",http://www.boohee.com/shiwu/shaomai,220 大卡(每100克)
"
炒大白菜，又叫大白菜
",http://www.boohee.com/shiwu/chaodabaicai,53 大卡(每100克)
"
西红柿鸡蛋汤，又叫西红柿蛋汤
",http://www.boohee.com/shiwu/xihongshijidantang,32 大卡(每100克)
"
大饼，又叫饼，家常饼，死面饼
",http://www.boohee.com/shiwu/dabing,215 大卡(每100克)
"
清蒸鱼，又叫清蒸鱼、蒸鱼、鱼、蒸洄鱼
",http://www.boohee.com/shiwu/qingzhengyu,105 大卡(每100克)
"
酸菜鱼，又叫酸汤鱼、酸辣鱼
",http://www.boohee.com/shiwu/suancaiyu,98 大卡(每100克)
"
寿司 自制1，又叫寿司卷
",http://www.boohee.com/shiwu/shousijuanhihifebruaryzizhi,141 大卡(每100克)
"
蛋炒饭，又叫黄金炒饭、蛋炒饭
",http://www.boohee.com/shiwu/danchaofan,143 大卡(每100克)
"
红烧鳓鱼
",http://www.boohee.com/shiwu/hongshaoyu,216 大卡(每100克)
"
盐水虾，又叫焖鲜虾
",http://www.boohee.com/shiwu/yanshuixia,92 大卡(每100克)
"
炒绿豆芽，又叫有机活体豆苗
",http://www.boohee.com/shiwu/chaolvdouya,44 大卡(每100克)
"
葱油饼，又叫葱花饼、葱油饼
",http://www.boohee.com/shiwu/congyoubing,259 大卡(每100克)
"
清炒西葫芦，又叫炒西葫、西葫芦丝
",http://www.boohee.com/shiwu/qingchaoxihulu,47 大卡(每100克)
"
西红柿鸡蛋面，又叫番茄蛋面
",http://www.boohee.com/shiwu/xihongshijidanmian,98 大卡(每100克)
"
酸辣土豆丝
",http://www.boohee.com/shiwu/suanlatudousi,122 大卡(每100克)
"
红烧肉
",http://www.boohee.com/shiwu/hongshaorou,522 大卡(每100克)
"
韭菜包子
",http://www.boohee.com/shiwu/jiucaibaozi,171 大卡(每100克)
